/nfs/homedirs/gmik/lrgwn/.venv/lib/python3.11/site-packages/torch_geometric/data/dataset.py:115: UserWarning: The `pre_transform` argument differs from the one used in the pre-processed version of this dataset. If you want to make use of another pre-processing technique, pass `force_reload=True` explicitly to reload the dataset.
  self._process()
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /nfs/homedirs/gmik/.netrc.
wandb: Currently logged in as: m-goloshchapov (m_goloshchapov) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run i5fz1nzb
wandb: Tracking run with wandb version 0.24.2
wandb: Run data is saved locally in /nfs/homedirs/gmik/lrgwn/wandb/run-20260305_142357-i5fz1nzb
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run daily-aardvark-10
wandb: ⭐️ View project at https://wandb.ai/m_goloshchapov/peptides-func
wandb: 🚀 View run at https://wandb.ai/m_goloshchapov/peptides-func/runs/i5fz1nzb
Epoch 185, train loss 0.0302, val loss 0.4255, val average_precision 0.6965
Epoch 186, train loss 0.0297, val loss 0.4209, val average_precision 0.6934
Epoch 187, train loss 0.0298, val loss 0.4315, val average_precision 0.6788
Epoch 188, train loss 0.0298, val loss 0.4599, val average_precision 0.6817
Epoch 189, train loss 0.0287, val loss 0.4185, val average_precision 0.6924
Epoch 190, train loss 0.0265, val loss 0.4320, val average_precision 0.6871
Epoch 191, train loss 0.0280, val loss 0.4775, val average_precision 0.6777
Epoch 192, train loss 0.0281, val loss 0.4400, val average_precision 0.6866
Epoch 193, train loss 0.0282, val loss 0.4283, val average_precision 0.6943
Epoch 194, train loss 0.0277, val loss 0.4517, val average_precision 0.6893
Epoch 195, train loss 0.0274, val loss 0.4366, val average_precision 0.6896
Epoch 196, train loss 0.0270, val loss 0.4546, val average_precision 0.6887
Epoch 197, train loss 0.0280, val loss 0.4739, val average_precision 0.6760
Epoch 198, train loss 0.0294, val loss 0.4288, val average_precision 0.6841
Epoch 199, train loss 0.0264, val loss 0.4654, val average_precision 0.6880
Epoch 200, train loss 0.0255, val loss 0.4428, val average_precision 0.6949
Epoch 201, train loss 0.0253, val loss 0.4409, val average_precision 0.6837
Epoch 202, train loss 0.0265, val loss 0.4636, val average_precision 0.6863
Epoch 203, train loss 0.0278, val loss 0.4696, val average_precision 0.6875
Epoch 204, train loss 0.0245, val loss 0.4688, val average_precision 0.6926
